mana_mxn,Porcentage,Time
1.09,0.0,00:19:28
1.09,0.0,00:20:01
1.09,0.0,00:20:34
1.09,0.0,00:21:07
1.09,0.0,00:21:40
1.07,-1.83486239,00:22:13
1.07,0.0,00:22:47
1.07,0.0,00:23:19
1.08,0.93457944,00:23:52
1.08,0.0,00:24:25
1.07,-0.92592593,00:24:58
1.07,0.0,00:25:31
1.07,0.0,00:26:04
1.07,0.0,00:26:37
1.07,0.0,00:27:10
1.07,0.0,00:27:42
1.07,0.0,00:28:15
1.07,0.0,00:28:49
1.07,0.0,00:29:21
1.07,0.0,00:29:55
1.07,0.0,00:30:28
1.07,0.0,00:31:01
1.08,0.93457944,00:31:33
1.08,0.0,00:32:06
1.08,0.0,00:32:39
1.08,0.0,00:33:12
1.08,0.0,00:33:45
1.08,0.0,00:34:18
1.08,0.0,00:34:51
1.08,0.0,00:35:23
1.08,0.0,00:35:56
1.08,0.0,00:36:29
1.08,0.0,00:37:01
1.08,0.0,00:37:34
1.08,0.0,00:38:08
1.08,0.0,00:38:40
1.08,0.0,00:39:13
1.08,0.0,00:39:45
1.08,0.0,00:40:19
1.08,0.0,00:40:51
1.09,0.92592593,00:41:24
1.09,0.0,00:41:57
1.09,0.0,00:42:30
1.09,0.0,00:43:03
1.09,0.0,00:43:35
1.09,0.0,00:44:08
1.09,0.0,00:44:41
1.09,0.0,00:45:13
1.09,0.0,00:45:47
1.09,0.0,00:46:20
1.09,0.0,00:46:52
1.09,0.0,00:47:25
1.09,0.0,00:47:57
1.09,0.0,00:48:30
1.09,0.0,00:49:03
1.09,0.0,00:49:36
1.09,0.0,00:50:09
1.09,0.0,00:50:42
1.09,0.0,00:51:15
1.09,0.0,00:51:48
1.09,0.0,00:52:21
1.09,0.0,00:52:54
1.09,0.0,00:53:27
1.09,0.0,00:54:00
1.09,0.0,00:54:33
1.09,0.0,00:55:06
1.09,0.0,00:55:39
1.09,0.0,00:56:11
1.09,0.0,00:56:44
1.09,0.0,00:57:17
1.09,0.0,00:57:51
1.09,0.0,00:58:23
1.09,0.0,00:58:56
1.09,0.0,00:59:29
1.09,0.0,01:00:02
1.09,0.0,01:00:35
1.09,0.0,01:01:08
1.07,-1.83486239,01:01:42
1.07,0.0,01:02:14
1.07,0.0,01:02:48
1.07,0.0,01:03:21
1.07,0.0,01:03:54
1.07,0.0,01:04:26
1.07,0.0,01:04:59
1.07,0.0,01:05:32
1.07,0.0,01:06:05
1.07,0.0,01:06:38
1.07,0.0,01:07:11
1.07,0.0,01:07:44
1.07,0.0,01:08:17
1.07,0.0,01:08:50
1.07,0.0,01:09:23
1.07,0.0,01:09:56
1.07,0.0,01:10:28
1.07,0.0,01:11:01
1.07,0.0,01:11:34
1.07,0.0,01:12:06
1.07,0.0,01:12:39
1.07,0.0,01:13:12
1.07,0.0,01:13:45
1.07,0.0,01:14:17
1.07,0.0,01:14:50
1.07,0.0,01:15:23
1.07,0.0,01:15:56
1.07,0.0,01:16:29
1.07,0.0,01:17:02
1.07,0.0,01:17:34
1.07,0.0,01:18:07
1.07,0.0,01:18:40
1.07,0.0,01:19:13
1.07,0.0,01:19:47
1.07,0.0,01:20:20
1.07,0.0,01:20:53
1.07,0.0,01:21:26
1.07,0.0,01:21:58
1.07,0.0,01:22:32
1.07,0.0,01:23:05
1.07,0.0,01:23:37
1.07,0.0,01:24:10
1.07,0.0,01:24:44
1.07,0.0,01:25:16
1.07,0.0,01:25:49
1.08,0.93457944,01:26:23
