ltc_mxn,Porcentage,Time
2083.18,0.0,00:19:28
2083.17,-0.00048004,00:20:01
2083.17,0.0,00:20:34
2083.17,0.0,00:21:07
2083.17,0.0,00:21:40
2083.17,0.0,00:22:13
2076.0,-0.34418698,00:22:47
2076.0,0.0,00:23:19
2076.0,0.0,00:23:52
2076.0,0.0,00:24:25
2076.0,0.0,00:24:58
2076.0,0.0,00:25:31
2076.0,0.0,00:26:04
2083.18,0.34585742,00:26:37
2083.18,0.0,00:27:10
2083.18,0.0,00:27:42
2083.18,0.0,00:28:15
2083.18,0.0,00:28:49
2083.18,0.0,00:29:21
2083.18,0.0,00:29:55
2076.0,-0.34466537,00:30:28
2076.0,0.0,00:31:01
2083.18,0.34585742,00:31:33
2083.18,0.0,00:32:06
2083.18,0.0,00:32:39
2083.08,-0.00480035,00:33:12
2076.0,-0.33988133,00:33:45
2076.0,0.0,00:34:18
2076.0,0.0,00:34:51
2076.0,0.0,00:35:23
2076.0,0.0,00:35:56
2076.0,0.0,00:36:29
2076.0,0.0,00:37:01
2082.51,0.31358382,00:37:34
2082.51,0.0,00:38:08
2082.51,0.0,00:38:40
2082.51,0.0,00:39:13
2082.51,0.0,00:39:45
2082.51,0.0,00:40:19
2082.51,0.0,00:40:51
2082.51,0.0,00:41:24
2082.51,0.0,00:41:57
2082.51,0.0,00:42:30
2074.0,-0.4086415,00:43:03
2074.0,0.0,00:43:35
2074.0,0.0,00:44:08
2074.0,0.0,00:44:41
2074.0,0.0,00:45:13
2074.0,0.0,00:45:47
2074.0,0.0,00:46:20
2074.0,0.0,00:46:52
2074.0,0.0,00:47:25
2074.0,0.0,00:47:57
2074.0,0.0,00:48:30
2074.0,0.0,00:49:03
2074.0,0.0,00:49:36
2074.0,0.0,00:50:09
2074.0,0.0,00:50:42
2074.0,0.0,00:51:15
2074.0,0.0,00:51:48
2079.97,0.28784957,00:52:21
2079.97,0.0,00:52:54
2079.97,0.0,00:53:27
2079.97,0.0,00:54:00
2079.97,0.0,00:54:33
2079.97,0.0,00:55:06
2079.97,0.0,00:55:39
2079.97,0.0,00:56:11
2079.97,0.0,00:56:44
2079.97,0.0,00:57:17
2079.97,0.0,00:57:51
2076.04,-0.18894503,00:58:23
2076.04,0.0,00:58:56
2076.04,0.0,00:59:29
2076.04,0.0,01:00:02
2076.04,0.0,01:00:35
2074.57,-0.07080788,01:01:08
2074.57,0.0,01:01:42
2050.03,-1.18289573,01:02:14
2050.03,0.0,01:02:48
2050.03,0.0,01:03:21
2072.66,1.10388628,01:03:54
2072.66,0.0,01:04:26
2072.66,0.0,01:04:59
2072.66,0.0,01:05:32
2068.85,-0.18382176,01:06:05
2068.85,0.0,01:06:38
2068.85,0.0,01:07:11
2068.85,0.0,01:07:44
2068.85,0.0,01:08:17
2068.85,0.0,01:08:50
2068.85,0.0,01:09:23
2080.97,0.58583271,01:09:56
2080.97,0.0,01:10:28
2080.97,0.0,01:11:01
2080.97,0.0,01:11:34
2079.53,-0.0691985,01:12:06
2079.53,0.0,01:12:39
2079.53,0.0,01:13:12
2079.53,0.0,01:13:45
2077.65,-0.09040504,01:14:17
2077.65,0.0,01:14:50
2077.65,0.0,01:15:23
2077.65,0.0,01:15:56
2077.65,0.0,01:16:29
2077.65,0.0,01:17:02
2077.65,0.0,01:17:34
2077.65,0.0,01:18:07
2077.65,0.0,01:18:40
2077.65,0.0,01:19:13
2077.65,0.0,01:19:47
2077.65,0.0,01:20:20
2077.65,0.0,01:20:53
2077.65,0.0,01:21:26
2077.65,0.0,01:21:58
2077.65,0.0,01:22:32
2077.65,0.0,01:23:05
2077.65,0.0,01:23:37
2077.65,0.0,01:24:10
2077.65,0.0,01:24:44
2077.65,0.0,01:25:16
2077.65,0.0,01:25:49
2077.65,0.0,01:26:23
2077.65,0.0,01:26:56
2077.65,0.0,01:27:29
2077.65,0.0,01:28:01
2077.65,0.0,01:28:35
2077.65,0.0,01:29:07
2077.65,0.0,01:29:40
2077.65,0.0,01:30:13
2077.65,0.0,01:30:46
2077.65,0.0,01:31:19
2077.65,0.0,01:31:52
2077.65,0.0,01:32:25
2077.65,0.0,01:32:58
2077.65,0.0,01:33:30
2047.77,-1.43816331,01:34:04
2047.77,0.0,01:34:37
2047.77,0.0,01:35:10
2047.77,0.0,01:35:43
2047.77,0.0,01:36:16
2047.77,0.0,01:36:49
2047.77,0.0,01:37:22
2047.77,0.0,01:37:55
2047.77,0.0,01:38:28
2022.12,-1.25258208,01:39:00
2022.12,0.0,01:39:34
2022.12,0.0,01:40:07
2022.12,0.0,01:40:39
2071.36,2.43506815,01:41:13
2071.36,0.0,01:41:45
2071.36,0.0,01:42:18
2071.36,0.0,01:42:51
2071.36,0.0,01:43:23
2071.36,0.0,01:43:57
2071.36,0.0,01:44:30
2071.36,0.0,01:45:02
2071.36,0.0,01:45:35
2071.36,0.0,01:46:08
2071.36,0.0,01:46:41
2066.49,-0.23511123,01:47:14
2066.49,0.0,01:47:47
2066.49,0.0,01:48:21
2066.49,0.0,01:48:54
2064.82,-0.08081336,01:49:27
2064.82,0.0,01:49:59
2064.82,0.0,01:50:32
2064.82,0.0,01:51:05
2064.82,0.0,01:51:38
2064.82,0.0,01:52:11
2064.82,0.0,01:52:44
2064.82,0.0,01:53:17
2064.82,0.0,01:53:50
2022.0,-2.07378851,01:54:23
2022.0,0.0,01:54:56
2022.0,0.0,01:55:29
2022.0,0.0,01:56:01
2075.28,2.63501484,01:56:35
2074.6,-0.03276666,01:57:08
2074.6,0.0,01:57:40
2074.6,0.0,01:58:13
2074.6,0.0,01:58:46
2074.6,0.0,01:59:19
2074.6,0.0,01:59:52
2074.6,0.0,02:00:26
2074.6,0.0,02:00:59
2074.6,0.0,02:01:31
2074.6,0.0,02:02:04
2074.6,0.0,02:02:37
2074.6,0.0,02:03:10
2074.6,0.0,02:03:43
2074.6,0.0,02:04:16
2074.6,0.0,02:04:49
2074.6,0.0,02:05:22
2074.6,0.0,02:05:55
2074.6,0.0,02:06:28
2074.6,0.0,02:07:00
2074.6,0.0,02:07:34
2074.6,0.0,02:08:06
2074.6,0.0,02:08:40
2074.6,0.0,02:09:12
2074.6,0.0,02:09:45
2074.6,0.0,02:10:19
2074.6,0.0,02:10:51
2074.6,0.0,02:11:24
2074.6,0.0,02:11:57
2074.6,0.0,02:12:31
2074.6,0.0,02:13:03
2074.6,0.0,02:13:36
2074.6,0.0,02:14:09
2074.6,0.0,02:14:42
2074.6,0.0,02:15:15
2074.6,0.0,02:15:48
2074.6,0.0,02:16:21
2074.6,0.0,02:16:54
2074.6,0.0,02:17:27
2074.6,0.0,02:18:00
2074.6,0.0,02:18:33
2074.6,0.0,02:19:07
2074.6,0.0,02:19:40
2074.6,0.0,02:20:13
2074.6,0.0,02:20:45
2074.6,0.0,02:21:19
2074.6,0.0,02:21:52
2074.6,0.0,02:22:25
2074.6,0.0,02:22:57
2074.6,0.0,02:23:31
2074.6,0.0,02:24:03
2074.6,0.0,02:24:36
2074.6,0.0,02:25:09
2074.6,0.0,02:25:42
2074.6,0.0,02:26:15
2074.6,0.0,02:26:48
2074.6,0.0,02:27:21
2074.6,0.0,02:27:54
2074.6,0.0,02:28:27
2074.6,0.0,02:29:00
2074.6,0.0,02:29:33
2074.6,0.0,02:30:06
2074.6,0.0,02:30:39
2074.6,0.0,02:31:15
2074.6,0.0,02:31:49
2074.6,0.0,02:32:22
2074.6,0.0,02:32:54
2074.6,0.0,02:33:27
2074.6,0.0,02:34:00
2074.6,0.0,02:34:33
2074.6,0.0,02:35:06
2074.6,0.0,02:35:39
2074.6,0.0,02:36:12
2074.6,0.0,02:36:45
2074.6,0.0,02:37:18
2074.6,0.0,02:37:51
2074.6,0.0,02:38:24
2074.6,0.0,02:38:57
2074.6,0.0,02:39:29
2074.6,0.0,02:40:02
2074.6,0.0,02:40:35
2074.6,0.0,02:41:08
2074.6,0.0,02:41:42
2074.6,0.0,02:42:15
2074.6,0.0,02:42:48
2074.6,0.0,02:43:21
2074.6,0.0,02:43:54
2074.6,0.0,02:44:27
2074.6,0.0,02:45:00
2067.57,-0.3388605,02:45:33
2067.57,0.0,02:46:05
2067.57,0.0,02:46:39
2067.57,0.0,02:47:12
2067.57,0.0,02:47:45
2067.57,0.0,02:48:18
2067.57,0.0,02:48:52
2023.8,-2.1169779,02:49:24
2023.8,0.0,02:49:57
2023.8,0.0,02:50:31
2023.8,0.0,02:51:04
2023.8,0.0,02:51:37
2023.8,0.0,02:52:10
2023.8,0.0,02:52:43
2022.25,-0.0765886,02:53:15
2022.25,0.0,02:53:49
2022.25,0.0,02:54:22
2022.25,0.0,02:54:55
2022.25,0.0,02:55:29
2022.25,0.0,02:56:02
2022.25,0.0,02:56:34
2022.25,0.0,02:57:07
2022.25,0.0,02:57:41
2022.25,0.0,02:58:14
2022.25,0.0,02:58:48
2022.25,0.0,02:59:21
2022.25,0.0,02:59:54
2070.2,2.37112128,03:00:27
2070.2,0.0,03:01:00
2070.2,0.0,03:01:34
2070.2,0.0,03:02:07
2069.23,-0.04685538,03:02:41
2069.23,0.0,03:03:14
2069.23,0.0,03:03:48
2069.23,0.0,03:04:21
2069.23,0.0,03:04:54
2069.23,0.0,03:05:27
2069.23,0.0,03:06:00
2069.23,0.0,03:06:33
2069.23,0.0,03:07:06
2069.23,0.0,03:07:39
2069.23,0.0,03:08:12
2069.23,0.0,03:08:45
2083.19,0.67464709,03:09:19
2083.19,0.0,03:09:52
2083.19,0.0,03:10:24
2083.19,0.0,03:10:57
2083.19,0.0,03:11:30
2083.19,0.0,03:12:03
2083.19,0.0,03:12:36
2083.19,0.0,03:13:10
2083.19,0.0,03:13:43
2083.19,0.0,03:14:15
2083.19,0.0,03:14:49
2083.19,0.0,03:15:22
2083.19,0.0,03:15:55
2083.19,0.0,03:16:28
2083.19,0.0,03:17:01
2083.19,0.0,03:17:35
2083.19,0.0,03:18:08
2083.19,0.0,03:18:41
2083.19,0.0,03:19:15
2083.19,0.0,03:19:48
2083.19,0.0,03:20:21
2030.07,-2.54993544,03:20:55
2030.07,0.0,03:21:28
2030.07,0.0,03:22:01
2030.07,0.0,03:22:35
2030.07,0.0,03:23:08
2030.07,0.0,03:23:41
2030.07,0.0,03:24:15
2030.07,0.0,03:24:48
2030.07,0.0,03:25:22
2030.07,0.0,03:25:55
2030.07,0.0,03:26:28
2030.07,0.0,03:27:02
2030.07,0.0,03:27:35
2030.07,0.0,03:28:08
2030.07,0.0,03:28:41
2030.07,0.0,03:29:14
2030.07,0.0,03:29:48
2030.07,0.0,03:30:21
2030.07,0.0,03:30:54
2030.07,0.0,03:31:27
2030.07,0.0,03:32:00
2030.07,0.0,03:32:33
2030.07,0.0,03:33:07
2030.07,0.0,03:33:40
2030.07,0.0,03:34:13
2030.07,0.0,03:34:46
2030.07,0.0,03:35:19
2030.07,0.0,03:35:52
2030.07,0.0,03:36:25
2030.07,0.0,03:36:58
2030.07,0.0,03:37:30
2030.07,0.0,03:38:04
2030.07,0.0,03:38:37
2030.07,0.0,03:39:10
2030.07,0.0,03:39:42
2082.83,2.59892516,03:40:15
2082.83,0.0,03:40:49
2082.83,0.0,03:41:22
2082.83,0.0,03:41:55
2082.83,0.0,03:42:28
2082.83,0.0,03:43:02
2082.83,0.0,03:43:34
2082.83,0.0,03:44:07
2082.83,0.0,03:44:40
2082.83,0.0,03:45:13
2082.83,0.0,03:45:46
2082.83,0.0,03:46:18
2082.83,0.0,03:46:52
2082.83,0.0,03:47:25
2082.83,0.0,03:47:57
2059.97,-1.09754517,03:48:31
2059.97,0.0,03:49:04
2059.97,0.0,03:49:37
2059.97,0.0,03:50:10
2059.97,0.0,03:50:43
2059.97,0.0,03:51:16
2059.97,0.0,03:51:50
2059.97,0.0,03:52:22
2059.97,0.0,03:52:55
2059.97,0.0,03:53:28
2059.97,0.0,03:54:02
2074.78,0.71894251,03:54:34
2074.78,0.0,03:55:08
2074.78,0.0,03:55:41
2075.0,0.01060353,03:56:14
2075.0,0.0,03:56:47
2075.0,0.0,03:57:21
2075.0,0.0,03:57:54
2075.0,0.0,03:58:27
2075.0,0.0,03:59:01
