gnt_mxn,Porcentage,Time
1.75,0.0,00:19:28
1.75,0.0,00:20:01
1.75,0.0,00:20:34
1.75,0.0,00:21:07
1.75,0.0,00:21:40
1.75,0.0,00:22:13
1.75,0.0,00:22:47
1.75,0.0,00:23:19
1.75,0.0,00:23:52
1.75,0.0,00:24:25
1.75,0.0,00:24:58
1.75,0.0,00:25:31
1.75,0.0,00:26:04
1.75,0.0,00:26:37
1.75,0.0,00:27:10
1.75,0.0,00:27:42
1.75,0.0,00:28:15
1.75,0.0,00:28:49
1.75,0.0,00:29:21
1.75,0.0,00:29:55
1.75,0.0,00:30:28
1.75,0.0,00:31:01
1.75,0.0,00:31:33
1.75,0.0,00:32:06
1.75,0.0,00:32:39
1.75,0.0,00:33:12
1.75,0.0,00:33:45
1.75,0.0,00:34:18
1.75,0.0,00:34:51
1.75,0.0,00:35:23
1.75,0.0,00:35:56
1.75,0.0,00:36:29
1.75,0.0,00:37:01
1.75,0.0,00:37:34
1.75,0.0,00:38:08
1.75,0.0,00:38:40
1.75,0.0,00:39:13
1.85,5.71428571,00:39:45
1.85,0.0,00:40:19
1.85,0.0,00:40:51
1.85,0.0,00:41:24
1.85,0.0,00:41:57
1.85,0.0,00:42:30
1.85,0.0,00:43:03
1.85,0.0,00:43:35
1.85,0.0,00:44:08
1.85,0.0,00:44:41
1.85,0.0,00:45:13
1.85,0.0,00:45:47
1.85,0.0,00:46:20
1.85,0.0,00:46:52
1.85,0.0,00:47:25
1.85,0.0,00:47:57
1.85,0.0,00:48:30
1.76,-4.86486486,00:49:03
1.76,0.0,00:49:36
1.76,0.0,00:50:09
1.76,0.0,00:50:42
1.76,0.0,00:51:15
1.76,0.0,00:51:48
1.76,0.0,00:52:21
1.76,0.0,00:52:54
1.76,0.0,00:53:27
1.76,0.0,00:54:00
1.76,0.0,00:54:33
1.76,0.0,00:55:06
1.76,0.0,00:55:39
1.76,0.0,00:56:11
1.75,-0.56818182,00:56:44
1.75,0.0,00:57:17
1.75,0.0,00:57:51
1.75,0.0,00:58:23
1.75,0.0,00:58:56
1.75,0.0,00:59:29
1.75,0.0,01:00:02
1.75,0.0,01:00:35
1.75,0.0,01:01:08
1.75,0.0,01:01:42
1.75,0.0,01:02:14
1.75,0.0,01:02:48
1.75,0.0,01:03:21
1.75,0.0,01:03:54
1.75,0.0,01:04:26
1.75,0.0,01:04:59
1.75,0.0,01:05:32
1.75,0.0,01:06:05
1.75,0.0,01:06:38
1.75,0.0,01:07:11
1.75,0.0,01:07:44
1.75,0.0,01:08:17
1.75,0.0,01:08:50
1.75,0.0,01:09:23
1.75,0.0,01:09:56
1.75,0.0,01:10:28
1.75,0.0,01:11:01
1.74,-0.57142857,01:11:34
1.74,0.0,01:12:06
1.74,0.0,01:12:39
1.74,0.0,01:13:12
1.74,0.0,01:13:45
1.74,0.0,01:14:17
1.74,0.0,01:14:50
1.74,0.0,01:15:23
1.74,0.0,01:15:56
1.74,0.0,01:16:29
1.74,0.0,01:17:02
1.74,0.0,01:17:34
1.74,0.0,01:18:07
1.74,0.0,01:18:40
1.74,0.0,01:19:13
1.74,0.0,01:19:47
1.74,0.0,01:20:20
1.74,0.0,01:20:53
1.74,0.0,01:21:26
1.74,0.0,01:21:58
1.74,0.0,01:22:32
1.74,0.0,01:23:05
1.74,0.0,01:23:37
1.74,0.0,01:24:10
1.74,0.0,01:24:44
1.74,0.0,01:25:16
1.74,0.0,01:25:49
1.74,0.0,01:26:23
1.74,0.0,01:26:56
1.74,0.0,01:27:29
1.74,0.0,01:28:01
1.74,0.0,01:28:35
1.74,0.0,01:29:07
1.74,0.0,01:29:40
1.74,0.0,01:30:13
1.74,0.0,01:30:46
1.74,0.0,01:31:19
1.74,0.0,01:31:52
1.74,0.0,01:32:25
1.74,0.0,01:32:58
1.74,0.0,01:33:30
1.74,0.0,01:34:04
1.74,0.0,01:34:37
1.74,0.0,01:35:10
1.74,0.0,01:35:43
1.74,0.0,01:36:16
1.74,0.0,01:36:49
1.74,0.0,01:37:22
1.74,0.0,01:37:55
1.74,0.0,01:38:28
1.74,0.0,01:39:00
1.74,0.0,01:39:34
1.74,0.0,01:40:07
1.74,0.0,01:40:39
1.74,0.0,01:41:13
1.74,0.0,01:41:45
1.74,0.0,01:42:18
1.74,0.0,01:42:51
1.74,0.0,01:43:23
1.74,0.0,01:43:57
1.74,0.0,01:44:30
1.74,0.0,01:45:02
1.74,0.0,01:45:35
1.74,0.0,01:46:08
1.74,0.0,01:46:41
1.74,0.0,01:47:14
1.74,0.0,01:47:47
1.74,0.0,01:48:21
1.74,0.0,01:48:54
1.74,0.0,01:49:27
1.74,0.0,01:49:59
1.74,0.0,01:50:32
1.74,0.0,01:51:05
1.74,0.0,01:51:38
1.74,0.0,01:52:11
1.74,0.0,01:52:44
1.74,0.0,01:53:17
1.74,0.0,01:53:50
1.74,0.0,01:54:23
1.74,0.0,01:54:56
1.74,0.0,01:55:29
1.74,0.0,01:56:01
1.74,0.0,01:56:35
1.74,0.0,01:57:08
1.74,0.0,01:57:40
1.74,0.0,01:58:13
1.74,0.0,01:58:46
1.74,0.0,01:59:19
1.74,0.0,01:59:52
1.74,0.0,02:00:26
1.74,0.0,02:00:59
1.74,0.0,02:01:31
1.74,0.0,02:02:04
1.74,0.0,02:02:37
1.74,0.0,02:03:10
1.74,0.0,02:03:43
1.79,2.87356322,02:04:16
1.79,0.0,02:04:49
1.79,0.0,02:05:22
1.79,0.0,02:05:55
1.79,0.0,02:06:28
1.79,0.0,02:07:00
1.79,0.0,02:07:34
1.79,0.0,02:08:06
1.79,0.0,02:08:40
1.79,0.0,02:09:12
1.79,0.0,02:09:45
1.79,0.0,02:10:19
1.74,-2.79329609,02:10:51
1.73,-0.57471264,02:11:24
1.73,0.0,02:11:57
1.82,5.20231214,02:12:31
1.73,-4.94505495,02:13:03
1.73,0.0,02:13:36
1.73,0.0,02:14:09
1.73,0.0,02:14:42
1.73,0.0,02:15:15
1.73,0.0,02:15:48
1.73,0.0,02:16:21
1.73,0.0,02:16:54
1.73,0.0,02:17:27
1.73,0.0,02:18:00
1.73,0.0,02:18:33
1.73,0.0,02:19:07
