btc_mxn,Porcentage,Time
159499.0,0.0,00:19:28
159499.0,0.0,00:20:01
159499.0,0.0,00:20:34
159000.0,-0.31285463,00:21:07
159000.0,0.0,00:21:40
159455.66,0.28657862,00:22:13
159447.03,-0.00541216,00:22:47
159000.0,-0.2803627,00:23:19
159495.99,0.3119434,00:23:52
159484.32,-0.0073168,00:24:25
159469.32,-0.00940531,00:24:58
159469.32,0.0,00:25:31
159458.66,-0.00668467,00:26:04
159458.66,0.0,00:26:37
159333.1,-0.07874141,00:27:10
159333.1,0.0,00:27:42
159333.1,0.0,00:28:15
159333.1,0.0,00:28:49
159333.1,0.0,00:29:21
159423.16,0.0565231,00:29:55
159405.9,-0.01082653,00:30:28
159405.9,0.0,00:31:01
159000.0,-0.25463298,00:31:33
159000.0,0.0,00:32:06
158901.01,-0.06225786,00:32:39
158900.0,-0.00063562,00:33:12
158900.0,0.0,00:33:45
158900.0,0.0,00:34:18
158900.0,0.0,00:34:51
158900.0,0.0,00:35:23
158900.0,0.0,00:35:56
158950.0,0.03146633,00:36:29
158950.0,0.0,00:37:01
159499.99,0.34601447,00:37:34
159499.99,0.0,00:38:08
159499.99,0.0,00:38:40
159499.99,0.0,00:39:13
158900.0,-0.3761693,00:39:45
158900.0,0.0,00:40:19
159293.98,0.2479421,00:40:51
159293.98,0.0,00:41:24
159275.16,-0.01181463,00:41:57
159275.16,0.0,00:42:30
159275.16,0.0,00:43:03
159096.99,-0.11186302,00:43:35
158900.0,-0.12381755,00:44:08
158900.0,0.0,00:44:41
158900.0,0.0,00:45:13
158900.0,0.0,00:45:47
158900.0,0.0,00:46:20
158899.99,-6.29e-06,00:46:52
158700.0,-0.12585904,00:47:25
158700.0,0.0,00:47:57
158700.0,0.0,00:48:30
158699.99,-6.3e-06,00:49:03
158699.99,0.0,00:49:36
158500.0,-0.12601765,00:50:09
158500.0,0.0,00:50:42
158500.0,0.0,00:51:15
158500.0,0.0,00:51:48
158699.99,0.12617666,00:52:21
158699.99,0.0,00:52:54
158500.0,-0.12601765,00:53:27
158699.98,0.12617035,00:54:00
158500.0,-0.12601136,00:54:33
158500.0,0.0,00:55:06
158500.0,0.0,00:55:39
158500.0,0.0,00:56:11
158500.0,0.0,00:56:44
158500.0,0.0,00:57:17
159107.58,0.38333123,00:57:51
