xrp_mxn,Porcentage,Time
8.06,0.0,02:19:40
8.06,0.0,02:20:13
8.06,0.0,02:20:45
8.06,0.0,02:21:19
8.06,0.0,02:21:52
8.06,0.0,02:22:25
8.06,0.0,02:22:57
8.06,0.0,02:23:31
8.06,0.0,02:24:03
8.18,1.48883375,02:24:36
8.18,0.0,02:25:09
8.18,0.0,02:25:42
8.18,0.0,02:26:15
8.18,0.0,02:26:48
8.18,0.0,02:27:21
8.18,0.0,02:27:54
8.18,0.0,02:28:27
8.18,0.0,02:29:00
8.18,0.0,02:29:33
8.18,0.0,02:30:06
8.18,0.0,02:30:39
8.18,0.0,02:31:15
8.09,-1.1002445,02:31:49
8.09,0.0,02:32:22
8.1,0.12360939,02:32:54
8.1,0.0,02:33:27
8.1,0.0,02:34:00
8.1,0.0,02:34:33
8.1,0.0,02:35:06
8.1,0.0,02:35:39
8.1,0.0,02:36:12
8.1,0.0,02:36:45
8.1,0.0,02:37:18
8.1,0.0,02:37:51
8.09,-0.12345679,02:38:24
8.09,0.0,02:38:57
8.09,0.0,02:39:29
8.09,0.0,02:40:02
8.21,1.48331273,02:40:35
8.05,-1.94884287,02:41:08
8.05,0.0,02:41:42
8.16,1.36645963,02:42:15
8.05,-1.34803922,02:42:48
8.05,0.0,02:43:21
8.05,0.0,02:43:54
8.05,0.0,02:44:27
8.05,0.0,02:45:00
8.05,0.0,02:45:33
8.05,0.0,02:46:05
8.23,2.23602484,02:46:39
8.23,0.0,02:47:12
8.23,0.0,02:47:45
8.23,0.0,02:48:18
8.23,0.0,02:48:52
8.23,0.0,02:49:24
8.23,0.0,02:49:57
8.23,0.0,02:50:31
8.23,0.0,02:51:04
8.23,0.0,02:51:37
8.23,0.0,02:52:10
8.23,0.0,02:52:43
8.23,0.0,02:53:15
8.23,0.0,02:53:49
8.23,0.0,02:54:22
8.23,0.0,02:54:55
8.23,0.0,02:55:29
8.23,0.0,02:56:02
8.23,0.0,02:56:34
8.23,0.0,02:57:07
8.23,0.0,02:57:41
8.23,0.0,02:58:14
8.23,0.0,02:58:48
8.23,0.0,02:59:21
8.23,0.0,02:59:54
8.23,0.0,03:00:27
8.28,0.60753341,03:01:00
8.05,-2.77777778,03:01:34
8.05,0.0,03:02:07
8.05,0.0,03:02:41
8.05,0.0,03:03:14
8.05,0.0,03:03:48
8.05,0.0,03:04:21
8.05,0.0,03:04:54
8.05,0.0,03:05:27
8.05,0.0,03:06:00
8.05,0.0,03:06:33
8.05,0.0,03:07:06
8.05,0.0,03:07:39
8.05,0.0,03:08:12
8.05,0.0,03:08:45
8.05,0.0,03:09:19
8.05,0.0,03:09:52
8.05,0.0,03:10:24
8.05,0.0,03:10:57
8.05,0.0,03:11:30
8.05,0.0,03:12:03
8.05,0.0,03:12:36
8.05,0.0,03:13:10
8.05,0.0,03:13:43
8.05,0.0,03:14:15
8.05,0.0,03:14:49
8.05,0.0,03:15:22
8.05,0.0,03:15:55
8.05,0.0,03:16:28
8.05,0.0,03:17:01
8.05,0.0,03:17:35
8.05,0.0,03:18:08
8.2,1.86335404,03:18:41
8.2,0.0,03:19:15
8.2,0.0,03:19:48
8.28,0.97560976,03:20:21
8.28,0.0,03:20:55
8.28,0.0,03:21:28
8.28,0.0,03:22:01
8.28,0.0,03:22:35
8.28,0.0,03:23:08
8.28,0.0,03:23:41
8.1,-2.17391304,03:24:15
8.1,0.0,03:24:48
8.1,0.0,03:25:22
8.1,0.0,03:25:55
8.1,0.0,03:26:28
8.1,0.0,03:27:02
8.1,0.0,03:27:35
8.1,0.0,03:28:08
8.1,0.0,03:28:41
8.1,0.0,03:29:14
8.1,0.0,03:29:48
8.1,0.0,03:30:21
8.1,0.0,03:30:54
8.1,0.0,03:31:27
8.1,0.0,03:32:00
8.1,0.0,03:32:33
8.1,0.0,03:33:07
8.1,0.0,03:33:40
8.1,0.0,03:34:13
8.1,0.0,03:34:46
8.1,0.0,03:35:19
8.1,0.0,03:35:52
8.1,0.0,03:36:25
8.1,0.0,03:36:58
8.1,0.0,03:37:30
8.1,0.0,03:38:04
8.1,0.0,03:38:37
8.1,0.0,03:39:10
8.1,0.0,03:39:42
8.1,0.0,03:40:15
8.1,0.0,03:40:49
8.1,0.0,03:41:22
8.1,0.0,03:41:55
8.1,0.0,03:42:28
8.1,0.0,03:43:02
8.1,0.0,03:43:34
8.1,0.0,03:44:07
8.1,0.0,03:44:40
8.1,0.0,03:45:13
8.1,0.0,03:45:46
8.1,0.0,03:46:18
8.1,0.0,03:46:52
8.1,0.0,03:47:25
8.1,0.0,03:47:57
8.1,0.0,03:48:31
8.1,0.0,03:49:04
8.1,0.0,03:49:37
8.1,0.0,03:50:10
8.1,0.0,03:50:43
8.1,0.0,03:51:16
8.1,0.0,03:51:50
8.1,0.0,03:52:22
8.1,0.0,03:52:55
8.1,0.0,03:53:28
8.1,0.0,03:54:02
8.1,0.0,03:54:34
8.1,0.0,03:55:08
8.1,0.0,03:55:41
8.1,0.0,03:56:14
8.1,0.0,03:56:47
8.1,0.0,03:57:21
8.1,0.0,03:57:54
8.1,0.0,03:58:27
8.1,0.0,03:59:01
8.1,0.0,03:59:34
8.28,2.22222222,04:00:07
8.28,0.0,04:00:40
8.28,0.0,04:01:13
8.28,0.0,04:01:46
8.28,0.0,04:02:19
8.28,0.0,04:02:53
8.28,0.0,04:03:26
8.28,0.0,04:03:59
8.28,0.0,04:04:32
8.28,0.0,04:05:05
8.28,0.0,04:05:38
8.28,0.0,04:06:11
8.28,0.0,04:06:45
8.28,0.0,04:07:18
8.28,0.0,04:07:51
8.28,0.0,04:08:24
8.28,0.0,04:08:57
8.28,0.0,04:09:30
8.28,0.0,04:10:03
8.28,0.0,04:10:36
8.12,-1.93236715,04:11:09
8.28,1.97044335,04:11:42
8.28,0.0,04:12:15
8.28,0.0,04:12:49
8.28,0.0,04:13:22
8.28,0.0,04:13:56
8.28,0.0,04:14:29
8.28,0.0,04:15:02
8.28,0.0,04:15:34
8.28,0.0,04:16:07
8.28,0.0,04:16:41
8.28,0.0,04:17:14
8.28,0.0,04:17:47
8.28,0.0,04:18:21
8.28,0.0,04:18:54
8.28,0.0,04:19:27
8.28,0.0,04:20:00
8.28,0.0,04:20:34
8.28,0.0,04:21:07
8.28,0.0,04:21:39
8.28,0.0,04:22:12
8.28,0.0,04:22:46
8.28,0.0,04:23:19
8.28,0.0,04:23:52
8.28,0.0,04:24:25
8.28,0.0,04:24:58
8.28,0.0,04:25:30
8.28,0.0,04:26:03
8.28,0.0,04:26:36
8.28,0.0,04:27:10
8.28,0.0,04:27:43
8.28,0.0,04:28:16
8.28,0.0,04:28:50
8.28,0.0,04:29:23
8.28,0.0,04:29:56
8.28,0.0,04:30:30
8.28,0.0,04:31:03
8.28,0.0,04:31:36
8.28,0.0,04:32:10
8.28,0.0,04:32:42
8.28,0.0,04:33:15
8.26,-0.24154589,04:33:49
8.26,0.0,04:34:22
8.26,0.0,04:34:56
8.26,0.0,04:35:29
8.26,0.0,04:36:02
8.26,0.0,04:36:34
8.26,0.0,04:37:08
8.26,0.0,04:37:41
8.26,0.0,04:38:14
8.26,0.0,04:38:48
8.26,0.0,04:39:21
8.26,0.0,04:39:53
8.26,0.0,04:40:26
8.26,0.0,04:40:59
8.26,0.0,04:41:33
8.26,0.0,04:42:06
8.26,0.0,04:42:40
8.26,0.0,04:43:13
8.26,0.0,04:43:49
8.26,0.0,04:44:23
8.26,0.0,04:44:56
8.26,0.0,04:45:29
8.26,0.0,04:46:02
8.26,0.0,04:46:35
8.26,0.0,04:47:08
8.26,0.0,04:47:41
8.26,0.0,04:48:14
8.26,0.0,04:48:48
8.26,0.0,04:49:21
8.26,0.0,04:49:54
8.26,0.0,04:50:27
8.26,0.0,04:51:00
8.26,0.0,04:51:34
8.26,0.0,04:52:07
8.26,0.0,04:52:41
8.26,0.0,04:53:13
8.26,0.0,04:53:47
8.26,0.0,04:54:20
8.26,0.0,04:54:54
8.26,0.0,04:55:26
8.26,0.0,04:56:00
8.26,0.0,04:56:33
8.26,0.0,04:57:06
8.26,0.0,04:57:39
8.26,0.0,04:58:13
8.26,0.0,04:58:46
8.26,0.0,04:59:19
8.26,0.0,04:59:52
8.26,0.0,05:00:25
8.26,0.0,05:00:58
8.26,0.0,05:01:31
8.26,0.0,05:02:04
8.26,0.0,05:02:38
8.26,0.0,05:03:11
8.26,0.0,05:03:44
8.26,0.0,05:04:17
8.26,0.0,05:04:51
8.26,0.0,05:05:23
8.26,0.0,05:05:56
8.26,0.0,05:06:29
8.26,0.0,05:07:03
8.26,0.0,05:07:36
8.26,0.0,05:08:09
8.26,0.0,05:08:42
8.26,0.0,05:09:15
8.26,0.0,05:09:48
8.26,0.0,05:10:22
8.26,0.0,05:10:54
8.26,0.0,05:11:28
8.26,0.0,05:12:01
8.26,0.0,05:12:34
8.26,0.0,05:13:07
8.26,0.0,05:13:41
8.26,0.0,05:14:14
8.26,0.0,05:14:47
8.26,0.0,05:15:21
8.26,0.0,05:15:54
8.26,0.0,05:16:27
8.26,0.0,05:17:00
8.26,0.0,05:17:33
8.26,0.0,05:18:07
8.26,0.0,05:18:40
8.26,0.0,05:19:13
8.26,0.0,05:19:47
8.26,0.0,05:20:20
8.26,0.0,05:20:53
8.26,0.0,05:21:26
8.26,0.0,05:22:00
8.26,0.0,05:22:33
8.26,0.0,05:23:07
8.12,-1.69491525,05:23:40
8.12,0.0,05:24:13
8.12,0.0,05:24:47
8.12,0.0,05:25:20
8.12,0.0,05:25:53
8.26,1.72413793,05:26:27
8.26,0.0,05:27:00
8.26,0.0,05:27:33
8.26,0.0,05:28:06
8.26,0.0,05:28:40
8.26,0.0,05:29:13
8.26,0.0,05:29:47
8.26,0.0,05:30:19
8.26,0.0,05:30:53
8.26,0.0,05:31:26
8.26,0.0,05:31:58
8.26,0.0,05:32:32
8.26,0.0,05:33:04
8.26,0.0,05:33:38
8.26,0.0,05:34:11
8.26,0.0,05:34:44
8.26,0.0,05:35:17
8.26,0.0,05:35:50
8.26,0.0,05:36:23
8.26,0.0,05:36:56
8.26,0.0,05:37:30
8.26,0.0,05:38:03
8.26,0.0,05:38:36
8.26,0.0,05:39:10
8.26,0.0,05:39:43
8.26,0.0,05:40:16
8.26,0.0,05:40:49
8.26,0.0,05:41:23
