bat_mxn,Porcentage,Time
7.02,0.0,17:47:16
7.02,0.0,17:47:49
7.02,0.0,17:48:22
7.02,0.0,17:48:54
7.06,0.56980057,17:49:27
7.06,0.0,17:50:00
7.06,0.0,17:50:34
7.06,0.0,17:51:07
7.06,0.0,17:51:40
7.06,0.0,17:52:13
7.06,0.0,17:52:46
7.06,0.0,17:53:19
7.06,0.0,17:53:52
7.06,0.0,17:54:25
7.06,0.0,17:54:58
7.06,0.0,17:55:31
7.06,0.0,17:56:03
7.06,0.0,17:56:36
7.06,0.0,17:57:09
7.06,0.0,17:57:42
7.06,0.0,17:58:15
7.06,0.0,17:58:48
7.06,0.0,17:59:21
7.06,0.0,17:59:54
7.06,0.0,18:00:27
7.06,0.0,18:01:00
7.06,0.0,18:01:33
7.06,0.0,18:02:06
7.06,0.0,18:02:39
7.06,0.0,18:03:12
7.06,0.0,18:03:45
7.06,0.0,18:04:18
7.06,0.0,18:04:51
7.01,-0.7082153,18:05:24
7.01,0.0,18:05:57
7.01,0.0,18:06:30
7.01,0.0,18:07:03
7.01,0.0,18:07:36
7.01,0.0,18:08:09
7.01,0.0,18:08:42
7.03,0.2853067,18:09:15
7.03,0.0,18:09:48
7.03,0.0,18:10:20
7.03,0.0,18:10:53
7.03,0.0,18:11:26
7.03,0.0,18:11:59
7.03,0.0,18:12:31
7.01,-0.28449502,18:13:04
7.01,0.0,18:13:37
7.01,0.0,18:14:10
7.01,0.0,18:14:43
7.01,0.0,18:15:16
7.01,0.0,18:15:49
7.01,0.0,18:16:22
7.01,0.0,18:16:54
7.01,0.0,18:17:27
7.01,0.0,18:18:00
7.01,0.0,18:18:33
7.01,0.0,18:19:06
7.01,0.0,18:19:39
7.01,0.0,18:20:11
7.01,0.0,18:20:45
7.01,0.0,18:21:17
7.01,0.0,18:21:50
7.01,0.0,18:22:23
7.01,0.0,18:22:55
7.01,0.0,18:23:28
7.01,0.0,18:24:01
7.01,0.0,18:24:34
7.01,0.0,18:25:07
7.01,0.0,18:25:40
7.01,0.0,18:26:13
7.01,0.0,18:26:46
7.01,0.0,18:27:19
7.01,0.0,18:27:52
7.01,0.0,18:28:25
7.01,0.0,18:28:58
7.01,0.0,18:29:31
7.01,0.0,18:30:04
7.01,0.0,18:30:37
7.01,0.0,18:31:10
7.01,0.0,18:31:43
7.01,0.0,18:32:15
7.01,0.0,18:32:48
7.01,0.0,18:33:21
7.01,0.0,18:33:54
7.01,0.0,18:34:27
7.01,0.0,18:35:00
7.01,0.0,18:35:32
7.01,0.0,18:36:05
7.01,0.0,18:36:38
7.01,0.0,18:37:11
7.01,0.0,18:37:44
7.01,0.0,18:38:16
7.01,0.0,18:38:49
7.01,0.0,18:39:22
7.01,0.0,18:39:55
7.01,0.0,18:40:28
7.01,0.0,18:41:00
7.1,1.28388017,18:41:33
7.1,0.0,18:42:06
7.1,0.0,18:42:39
7.1,0.0,18:43:12
7.1,0.0,18:43:45
7.1,0.0,18:44:18
7.1,0.0,18:44:51
7.1,0.0,18:45:24
7.1,0.0,18:45:56
7.1,0.0,18:46:30
7.1,0.0,18:47:03
7.1,0.0,18:47:36
7.1,0.0,18:48:08
7.1,0.0,18:48:41
7.1,0.0,18:49:14
7.1,0.0,18:49:47
7.1,0.0,18:50:20
7.1,0.0,18:50:53
7.1,0.0,18:51:25
7.1,0.0,18:51:58
7.1,0.0,18:52:31
7.1,0.0,18:53:04
7.1,0.0,18:53:37
7.1,0.0,18:54:10
7.1,0.0,18:54:43
7.1,0.0,18:55:16
7.1,0.0,18:55:49
7.1,0.0,18:56:22
7.1,0.0,18:56:55
7.1,0.0,18:57:28
7.1,0.0,18:58:00
7.1,0.0,18:58:34
7.1,0.0,18:59:07
7.1,0.0,18:59:40
7.1,0.0,19:00:13
7.1,0.0,19:00:46
7.1,0.0,19:01:19
7.1,0.0,19:01:52
7.1,0.0,19:02:25
7.1,0.0,19:02:58
7.1,0.0,19:03:31
7.01,-1.26760563,19:04:04
7.01,0.0,19:04:37
7.01,0.0,19:05:10
7.01,0.0,19:05:42
7.01,0.0,19:06:15
7.01,0.0,19:06:49
