bat_mxn,Porcentage,Time
6.85,0.0,11:44:55
6.85,0.0,11:45:28
6.85,0.0,11:46:01
6.85,0.0,11:46:34
6.85,0.0,11:47:07
6.85,0.0,11:47:40
6.85,0.0,11:48:13
6.85,0.0,11:48:46
6.85,0.0,11:49:19
6.85,0.0,11:49:52
6.85,0.0,11:50:25
6.85,0.0,11:50:58
6.85,0.0,11:51:32
6.85,0.0,11:52:05
6.85,0.0,11:52:39
6.85,0.0,11:53:12
6.84,-0.1459854,11:53:45
6.84,0.0,11:54:18
6.84,0.0,11:54:51
6.84,0.0,11:55:25
6.84,0.0,11:55:58
6.84,0.0,11:56:31
6.84,0.0,11:57:04
6.84,0.0,11:57:37
6.84,0.0,11:58:11
6.84,0.0,11:58:44
6.84,0.0,11:59:17
6.84,0.0,11:59:50
6.84,0.0,12:00:23
6.84,0.0,12:00:57
6.84,0.0,12:01:30
6.84,0.0,12:02:04
6.88,0.58479532,12:02:36
6.88,0.0,12:03:10
6.88,0.0,12:03:42
6.88,0.0,12:04:16
6.88,0.0,12:04:49
6.88,0.0,12:05:22
6.88,0.0,12:05:55
6.88,0.0,12:06:28
6.88,0.0,12:07:00
6.88,0.0,12:07:33
6.88,0.0,12:08:06
6.88,0.0,12:08:39
6.88,0.0,12:09:12
6.88,0.0,12:09:45
6.88,0.0,12:10:18
6.88,0.0,12:10:51
6.88,0.0,12:11:24
6.88,0.0,12:11:57
6.88,0.0,12:12:30
6.88,0.0,12:13:03
6.88,0.0,12:13:36
6.88,0.0,12:14:08
6.88,0.0,12:14:41
6.88,0.0,12:15:14
6.88,0.0,12:15:47
6.88,0.0,12:16:21
6.88,0.0,12:16:54
6.88,0.0,12:17:27
6.88,0.0,12:18:00
6.88,0.0,12:18:33
6.88,0.0,12:19:06
6.88,0.0,12:19:40
6.88,0.0,12:20:12
6.88,0.0,12:20:46
6.88,0.0,12:21:19
6.88,0.0,12:21:52
6.88,0.0,12:22:25
6.88,0.0,12:22:57
6.88,0.0,12:23:31
6.88,0.0,12:24:04
6.88,0.0,12:24:37
6.88,0.0,12:25:10
6.88,0.0,12:25:42
6.88,0.0,12:26:16
6.88,0.0,12:26:48
6.88,0.0,12:27:21
6.88,0.0,12:27:54
6.88,0.0,12:28:28
6.88,0.0,12:29:01
6.88,0.0,12:29:34
6.88,0.0,12:30:07
6.88,0.0,12:30:40
6.88,0.0,12:31:13
6.88,0.0,12:31:50
6.88,0.0,12:32:23
6.88,0.0,12:32:56
6.86,-0.29069767,12:33:29
6.86,0.0,12:34:02
6.86,0.0,12:34:35
6.9,0.58309038,12:35:08
6.9,0.0,12:35:41
6.9,0.0,12:36:14
6.9,0.0,12:36:47
6.91,0.14492754,12:37:20
6.91,0.0,12:37:53
6.92,0.1447178,12:38:27
6.92,0.0,12:39:00
6.92,0.0,12:39:33
6.92,0.0,12:40:06
6.92,0.0,12:40:39
6.92,0.0,12:41:12
6.92,0.0,12:41:45
6.92,0.0,12:42:18
6.92,0.0,12:42:51
6.92,0.0,12:43:25
6.92,0.0,12:43:58
6.92,0.0,12:44:31
6.91,-0.14450867,12:45:04
6.91,0.0,12:45:37
6.91,0.0,12:46:10
6.92,0.1447178,12:46:43
6.92,0.0,12:47:17
6.92,0.0,12:47:50
6.93,0.14450867,12:48:23
6.94,0.14430014,12:48:57
6.94,0.0,12:49:29
6.95,0.14409222,12:50:02
6.96,0.14388489,12:50:36
6.96,0.0,12:51:09
6.96,0.0,12:51:42
6.96,0.0,12:52:15
6.96,0.0,12:52:48
6.96,0.0,12:53:21
6.97,0.14367816,12:53:54
6.97,0.0,12:54:28
6.97,0.0,12:55:01
6.97,0.0,12:55:34
6.98,0.14347202,12:56:08
6.98,0.0,12:56:41
6.98,0.0,12:57:13
6.98,0.0,12:57:47
6.87,-1.57593123,12:58:20
6.87,0.0,12:58:53
6.85,-0.29112082,12:59:26
6.85,0.0,12:59:59
6.85,0.0,13:00:32
6.98,1.89781022,13:01:05
6.98,0.0,13:01:39
6.86,-1.71919771,13:02:12
6.86,0.0,13:02:45
6.86,0.0,13:03:18
6.86,0.0,13:03:51
6.99,1.89504373,13:04:24
6.99,0.0,13:04:57
6.99,0.0,13:05:30
6.99,0.0,13:06:03
6.99,0.0,13:06:37
6.99,0.0,13:07:09
6.99,0.0,13:07:42
6.99,0.0,13:08:16
6.99,0.0,13:08:49
6.99,0.0,13:09:22
6.99,0.0,13:09:56
6.99,0.0,13:10:29
6.99,0.0,13:11:02
6.99,0.0,13:11:34
6.99,0.0,13:12:08
6.99,0.0,13:12:40
6.99,0.0,13:13:13
6.99,0.0,13:13:46
6.99,0.0,13:14:19
6.99,0.0,13:14:52
6.99,0.0,13:15:25
6.99,0.0,13:15:59
6.99,0.0,13:16:32
6.99,0.0,13:17:05
6.99,0.0,13:17:39
6.99,0.0,13:18:12
6.87,-1.7167382,13:18:44
6.87,0.0,13:19:17
6.87,0.0,13:19:50
6.87,0.0,13:20:23
6.87,0.0,13:20:56
6.87,0.0,13:21:29
6.87,0.0,13:22:02
6.87,0.0,13:22:35
6.87,0.0,13:23:08
6.87,0.0,13:23:42
6.87,0.0,13:24:15
6.87,0.0,13:24:48
6.87,0.0,13:25:21
6.87,0.0,13:25:54
6.87,0.0,13:26:27
6.87,0.0,13:27:00
6.87,0.0,13:27:33
6.87,0.0,13:28:06
6.87,0.0,13:28:39
6.89,0.29112082,13:29:13
6.89,0.0,13:29:45
6.89,0.0,13:30:19
6.89,0.0,13:30:52
6.89,0.0,13:31:25
6.89,0.0,13:31:58
6.89,0.0,13:32:31
6.89,0.0,13:33:04
6.89,0.0,13:33:37
6.89,0.0,13:34:10
6.89,0.0,13:34:43
6.89,0.0,13:35:17
6.89,0.0,13:35:50
6.89,0.0,13:36:23
6.89,0.0,13:36:56
7.05,2.3222061,13:37:29
7.1,0.70921986,13:38:03
7.1,0.0,13:38:35
7.1,0.0,13:39:08
7.1,0.0,13:39:41
7.09,-0.14084507,13:40:14
7.09,0.0,13:40:46
7.09,0.0,13:41:19
7.09,0.0,13:41:54
7.09,0.0,13:42:26
7.09,0.0,13:42:59
7.09,0.0,13:43:33
7.09,0.0,13:44:06
7.09,0.0,13:44:40
7.09,0.0,13:45:13
6.86,-3.24400564,13:45:46
6.86,0.0,13:46:18
6.86,0.0,13:46:52
6.86,0.0,13:47:25
6.86,0.0,13:47:57
7.08,3.20699708,13:48:31
7.08,0.0,13:49:04
7.08,0.0,13:49:38
7.08,0.0,13:50:11
7.08,0.0,13:50:44
7.08,0.0,13:51:16
7.08,0.0,13:51:49
7.09,0.14124294,13:52:23
7.09,0.0,13:52:56
7.09,0.0,13:53:29
7.09,0.0,13:54:02
7.1,0.14104372,13:54:35
7.1,0.0,13:55:08
7.1,0.0,13:55:41
7.1,0.0,13:56:15
7.1,0.0,13:57:24
7.1,0.0,13:57:57
7.1,0.0,13:58:31
7.1,0.0,13:59:05
7.1,0.0,13:59:38
7.1,0.0,14:00:10
7.1,0.0,14:00:43
7.1,0.0,14:01:16
7.1,0.0,14:01:49
7.1,0.0,14:02:22
7.1,0.0,14:02:56
7.1,0.0,14:03:29
7.1,0.0,14:04:02
6.93,-2.3943662,14:04:34
6.93,0.0,14:05:08
6.93,0.0,14:05:41
6.93,0.0,14:06:15
6.93,0.0,14:06:48
6.93,0.0,14:07:21
6.93,0.0,14:07:54
6.93,0.0,14:08:27
6.93,0.0,14:09:00
6.93,0.0,14:09:33
6.93,0.0,14:10:06
6.93,0.0,14:10:39
6.93,0.0,14:11:12
6.93,0.0,14:11:45
6.93,0.0,14:12:18
6.93,0.0,14:12:51
6.93,0.0,14:13:24
6.93,0.0,14:13:57
6.93,0.0,14:14:29
6.93,0.0,14:15:02
6.93,0.0,14:15:35
6.93,0.0,14:16:08
6.93,0.0,14:16:41
6.93,0.0,14:17:14
6.93,0.0,14:17:47
6.93,0.0,14:18:20
6.93,0.0,14:18:52
6.93,0.0,14:19:25
6.93,0.0,14:19:58
6.93,0.0,14:20:31
6.93,0.0,14:21:04
6.93,0.0,14:21:37
6.93,0.0,14:22:10
6.93,0.0,14:22:43
6.93,0.0,14:23:16
6.93,0.0,14:23:48
6.93,0.0,14:24:22
6.93,0.0,14:24:55
6.93,0.0,14:25:27
6.93,0.0,14:26:00
6.93,0.0,14:26:34
6.93,0.0,14:27:06
6.93,0.0,14:27:40
6.93,0.0,14:28:12
6.93,0.0,14:28:46
6.93,0.0,14:29:20
7.09,2.30880231,14:29:53
7.09,0.0,14:30:26
7.09,0.0,14:30:59
7.09,0.0,14:31:31
7.09,0.0,14:32:04
7.09,0.0,14:32:37
7.09,0.0,14:33:10
7.09,0.0,14:33:43
7.09,0.0,14:34:16
7.09,0.0,14:34:48
7.09,0.0,14:35:22
7.09,0.0,14:35:55
7.09,0.0,14:36:27
6.93,-2.25669958,14:37:00
6.93,0.0,14:37:33
6.93,0.0,14:38:06
6.93,0.0,14:38:39
7.07,2.02020202,14:39:12
7.07,0.0,14:39:45
7.07,0.0,14:40:18
7.07,0.0,14:40:51
7.07,0.0,14:41:24
7.07,0.0,14:41:57
7.07,0.0,14:42:30
7.07,0.0,14:43:02
7.07,0.0,14:43:35
7.07,0.0,14:44:08
6.94,-1.8387553,14:44:41
6.94,0.0,14:45:13
6.94,0.0,14:45:46
6.94,0.0,14:46:19
6.94,0.0,14:46:52
6.94,0.0,14:47:25
6.94,0.0,14:47:58
6.94,0.0,14:48:31
6.94,0.0,14:49:03
6.94,0.0,14:49:36
7.07,1.87319885,14:50:09
7.07,0.0,14:50:42
7.07,0.0,14:51:15
7.07,0.0,14:51:47
7.07,0.0,14:52:20
7.07,0.0,14:52:53
7.07,0.0,14:53:26
7.07,0.0,14:53:59
7.07,0.0,14:54:31
7.07,0.0,14:55:04
7.07,0.0,14:55:37
7.07,0.0,14:56:10
7.07,0.0,14:56:43
7.07,0.0,14:57:15
7.07,0.0,14:57:48
7.07,0.0,14:58:21
7.07,0.0,14:58:54
7.07,0.0,14:59:27
7.07,0.0,15:00:00
7.07,0.0,15:00:32
7.07,0.0,15:01:05
7.07,0.0,15:01:39
7.07,0.0,15:02:12
7.07,0.0,15:02:45
7.07,0.0,15:03:18
7.07,0.0,15:03:51
7.07,0.0,15:04:24
7.07,0.0,15:04:57
7.07,0.0,15:05:29
7.07,0.0,15:06:02
7.07,0.0,15:06:35
7.07,0.0,15:07:08
7.07,0.0,15:07:41
7.07,0.0,15:08:14
7.07,0.0,15:08:47
7.07,0.0,15:09:20
7.07,0.0,15:09:53
7.07,0.0,15:10:25
7.07,0.0,15:10:58
7.07,0.0,15:11:31
7.07,0.0,15:12:04
7.07,0.0,15:12:37
7.07,0.0,15:13:10
7.07,0.0,15:13:43
6.96,-1.55586987,15:14:16
6.96,0.0,15:14:48
6.96,0.0,15:15:21
6.96,0.0,15:15:54
6.96,0.0,15:16:27
6.96,0.0,15:17:00
6.96,0.0,15:17:33
6.96,0.0,15:18:06
7.07,1.58045977,15:18:39
7.07,0.0,15:19:13
7.07,0.0,15:19:45
7.07,0.0,15:20:18
7.07,0.0,15:20:51
7.07,0.0,15:21:24
7.07,0.0,15:21:56
7.07,0.0,15:22:30
7.07,0.0,15:23:03
7.07,0.0,15:23:36
7.07,0.0,15:24:09
7.07,0.0,15:24:42
7.07,0.0,15:25:15
7.07,0.0,15:25:48
7.07,0.0,15:26:21
7.07,0.0,15:26:54
