btc_mxn,Porcentage,Time
155252.52,-0.41531751,00:01:07
155964.29,0.45845955,00:01:40
155964.29,0.0,00:02:14
155253.34,-0.45584153,00:02:48
156650.52,0.89993555,00:03:21
156614.6,-0.02293002,00:03:54
155278.16,-0.8533304,00:04:28
155290.12,0.00770231,00:05:01
155290.12,0.0,00:05:35
156560.19,0.81786916,00:06:08
155329.4,-0.78614493,00:06:41
155344.37,0.00963758,00:07:15
155344.37,0.0,00:07:48
155344.37,0.0,00:08:21
155344.37,0.0,00:08:55
155344.37,0.0,00:09:28
155344.37,0.0,00:10:02
156497.62,0.74238287,00:10:35
156000.0,-0.31797289,00:11:08
156414.24,0.26553846,00:11:42
156366.6,-0.03045758,00:12:15
155449.68,-0.58639121,00:12:48
155449.68,0.0,00:13:22
155449.68,0.0,00:13:55
155449.68,0.0,00:14:28
156251.04,0.51551087,00:15:02
155503.01,-0.47873601,00:15:36
156399.87,0.57674768,00:16:09
156399.87,0.0,00:16:43
156442.2,0.02706524,00:17:17
155507.08,-0.59774153,00:17:50
155520.0,0.0083083,00:18:24
156411.63,0.57332176,00:18:58
156358.13,-0.03420462,00:19:32
156358.13,0.0,00:20:05
155359.27,-0.63882831,00:20:39
155359.27,0.0,00:21:12
156417.52,0.68116309,00:21:46
155389.68,-0.65711309,00:22:20
155405.13,0.00994275,00:22:54
156650.53,0.80138925,00:23:27
155420.0,-0.78552559,00:24:00
155420.0,0.0,00:24:34
156641.63,0.78601853,00:25:07
156641.63,0.0,00:25:41
156641.63,0.0,00:26:14
156641.63,0.0,00:26:48
156641.63,0.0,00:27:21
156641.63,0.0,00:27:54
156607.03,-0.02208864,00:28:28
156607.03,0.0,00:29:01
156597.6,-0.00602144,00:29:34
156597.6,0.0,00:30:08
156597.6,0.0,00:30:41
156200.0,-0.25389917,00:31:14
156250.0,0.03201024,00:31:48
156250.0,0.0,00:32:21
156250.0,0.0,00:32:54
156250.0,0.0,00:33:27
156250.0,0.0,00:34:00
156250.0,0.0,00:34:33
156251.0,0.00064,00:35:06
156641.63,0.2500016,00:35:39
156650.53,0.00568176,00:36:13
156650.53,0.0,00:36:46
156641.63,-0.00568144,00:37:19
156621.1,-0.01310635,00:37:52
156621.1,0.0,00:38:26
155546.7,-0.68598675,00:38:59
156620.06,0.69005643,00:39:32
156620.06,0.0,00:40:05
156501.9,-0.07544372,00:40:39
155244.01,-0.80375382,00:41:12
155244.01,0.0,00:41:45
155244.01,0.0,00:42:18
155244.01,0.0,00:42:52
156202.63,0.61749242,00:43:25
156587.62,0.24646832,00:43:58
156552.19,-0.02262631,00:44:31
156552.19,0.0,00:45:04
156433.52,-0.0758022,00:45:37
155300.0,-0.72460173,00:46:11
156338.75,0.66886671,00:46:44
156338.75,0.0,00:47:17
156338.75,0.0,00:47:50
155301.0,-0.66378297,00:48:23
156126.06,0.53126509,00:48:57
156126.06,0.0,00:49:30
155102.11,-0.65584823,00:50:03
155102.0,-7.092e-05,00:50:37
155102.0,0.0,00:51:10
154995.0,-0.06898686,00:51:43
155828.57,0.53780445,00:52:16
155742.49,-0.05524019,00:52:49
155742.49,0.0,00:53:22
155742.49,0.0,00:53:55
156372.53,0.40453957,00:54:28
156372.53,0.0,00:55:02
154935.0,-0.91929829,00:55:35
154935.0,0.0,00:56:08
154801.0,-0.08648788,00:56:42
154801.0,0.0,00:57:15
156034.33,0.79671966,00:57:49
156034.33,0.0,00:58:22
156034.33,0.0,00:58:55
154801.0,-0.79042221,00:59:28
155759.87,0.61942106,01:00:01
155759.87,0.0,01:00:34
155759.87,0.0,01:01:08
155759.87,0.0,01:01:41
155759.87,0.0,01:02:13
155759.87,0.0,01:02:47
155759.87,0.0,01:03:20
155771.24,0.0072997,01:03:53
155771.24,0.0,01:04:26
155771.24,0.0,01:05:00
155872.81,0.06520459,01:05:33
155872.81,0.0,01:06:07
155872.81,0.0,01:06:40
155872.81,0.0,01:07:14
155872.81,0.0,01:07:47
154879.39,-0.63732732,01:08:20
154879.39,0.0,01:08:53
154879.39,0.0,01:09:27
154879.39,0.0,01:10:00
154879.39,0.0,01:10:34
154879.39,0.0,01:11:07
155991.06,0.71776497,01:11:40
155991.06,0.0,01:12:13
155991.06,0.0,01:12:47
155997.4,0.00406434,01:13:20
155988.48,-0.00571804,01:13:53
155953.98,-0.02211702,01:14:27
155953.98,0.0,01:15:00
155953.98,0.0,01:15:33
155822.85,-0.0840825,01:16:06
155717.02,-0.06791687,01:16:39
155669.43,-0.03056185,01:17:13
155669.43,0.0,01:17:46
155669.43,0.0,01:18:19
154801.0,-0.55786804,01:18:53
154800.0,-0.00064599,01:19:26
154500.0,-0.19379845,01:19:59
154500.0,0.0,01:20:32
154500.0,0.0,01:21:06
154500.0,0.0,01:21:39
155866.65,0.88456311,01:22:12
155866.65,0.0,01:22:46
155866.65,0.0,01:23:20
155866.65,0.0,01:23:52
155000.0,-0.55602016,01:24:26
155000.0,0.0,01:24:59
154100.0,-0.58064516,01:25:32
154100.0,0.0,01:26:05
154100.0,0.0,01:26:39
154100.0,0.0,01:27:11
154100.0,0.0,01:27:45
154000.01,-0.06488644,01:28:18
155506.32,0.97812331,01:28:51
155506.32,0.0,01:29:23
155506.32,0.0,01:29:57
155506.32,0.0,01:30:30
155506.32,0.0,01:31:03
155506.32,0.0,01:31:37
155506.32,0.0,01:32:10
155506.32,0.0,01:32:43
155506.32,0.0,01:33:16
155506.32,0.0,01:33:49
155916.28,0.26362916,01:34:22
155916.28,0.0,01:34:55
155916.28,0.0,01:35:28
155916.28,0.0,01:36:01
155694.78,-0.14206342,01:36:33
155000.0,-0.44624489,01:37:07
155000.0,0.0,01:37:40
155570.89,0.36831613,01:38:13
155570.89,0.0,01:38:46
155570.89,0.0,01:39:20
155570.89,0.0,01:39:53
155570.89,0.0,01:40:26
155292.66,-0.17884451,01:41:00
154002.62,-0.83071537,01:41:33
155173.72,0.76044161,01:42:06
155173.72,0.0,01:42:40
155958.36,0.50565263,01:43:13
154003.04,-1.25374491,01:43:47
154003.04,0.0,01:44:21
154003.04,0.0,01:44:54
155776.27,1.15142532,01:45:28
155776.27,0.0,01:46:01
155776.27,0.0,01:46:34
154077.59,-1.09046134,01:47:07
155910.45,1.18956949,01:47:41
155901.41,-0.0057982,01:48:14
155901.41,0.0,01:48:48
155901.41,0.0,01:49:21
155901.41,0.0,01:49:54
155901.41,0.0,01:50:27
155901.41,0.0,01:51:01
154173.82,-1.10812981,01:51:35
155604.78,0.9281472,01:52:08
