ltc_mxn,Porcentage,Time
2027.03,0.0,00:01:07
2027.03,0.0,00:01:40
2066.39,1.94175715,00:02:14
2066.39,0.0,00:02:48
2066.39,0.0,00:03:21
2066.39,0.0,00:03:54
2066.39,0.0,00:04:28
2066.39,0.0,00:05:01
2066.39,0.0,00:05:35
2066.39,0.0,00:06:08
2066.39,0.0,00:06:41
2027.48,-1.88299401,00:07:15
2027.48,0.0,00:07:48
2027.48,0.0,00:08:21
2027.48,0.0,00:08:55
2027.48,0.0,00:09:28
2069.96,2.09521179,00:10:02
2069.96,0.0,00:10:35
2069.96,0.0,00:11:08
2069.96,0.0,00:11:42
2069.96,0.0,00:12:15
2068.89,-0.05169182,00:12:48
2068.89,0.0,00:13:22
2068.59,-0.01450053,00:13:55
2030.44,-1.8442514,00:14:28
2030.44,0.0,00:15:02
2030.44,0.0,00:15:36
2030.44,0.0,00:16:09
2067.19,1.80995252,00:16:43
2067.19,0.0,00:17:17
2067.19,0.0,00:17:50
2067.19,0.0,00:18:24
2067.19,0.0,00:18:58
2067.19,0.0,00:19:32
2067.19,0.0,00:20:05
2067.19,0.0,00:20:39
2067.19,0.0,00:21:12
2067.19,0.0,00:21:46
2067.19,0.0,00:22:20
2067.19,0.0,00:22:54
2067.19,0.0,00:23:27
2067.19,0.0,00:24:00
2067.19,0.0,00:24:34
2067.19,0.0,00:25:07
2067.19,0.0,00:25:41
2067.19,0.0,00:26:14
2067.19,0.0,00:26:48
2067.19,0.0,00:27:21
2067.19,0.0,00:27:54
2067.19,0.0,00:28:28
2067.19,0.0,00:29:01
2068.92,0.08368849,00:29:34
2068.92,0.0,00:30:08
2068.92,0.0,00:30:41
2068.92,0.0,00:31:14
2068.92,0.0,00:31:48
2068.95,0.00145003,00:32:21
2068.95,0.0,00:32:54
2068.95,0.0,00:33:27
2068.97,0.00096667,00:34:00
2068.97,0.0,00:34:33
2032.86,-1.74531289,00:35:06
2032.86,0.0,00:35:39
2032.86,0.0,00:36:13
2032.86,0.0,00:36:46
2032.86,0.0,00:37:19
2032.86,0.0,00:37:52
2032.86,0.0,00:38:26
2027.28,-0.27449013,00:38:59
2027.28,0.0,00:39:32
2068.92,2.05398366,00:40:05
2068.92,0.0,00:40:39
2068.92,0.0,00:41:12
2068.92,0.0,00:41:45
2068.92,0.0,00:42:18
2068.92,0.0,00:42:52
2068.92,0.0,00:43:25
2068.92,0.0,00:43:58
2068.92,0.0,00:44:31
2064.93,-0.19285424,00:45:04
2064.93,0.0,00:45:37
2064.93,0.0,00:46:11
2064.93,0.0,00:46:44
2064.93,0.0,00:47:17
2064.93,0.0,00:47:50
2064.93,0.0,00:48:23
2064.93,0.0,00:48:57
2064.93,0.0,00:49:30
2064.93,0.0,00:50:03
2028.25,-1.7763314,00:50:37
2028.25,0.0,00:51:10
2028.25,0.0,00:51:43
2027.03,-0.06015038,00:52:16
2063.31,1.78981071,00:52:49
2063.31,0.0,00:53:22
2063.31,0.0,00:53:55
2063.31,0.0,00:54:28
2063.31,0.0,00:55:02
2063.31,0.0,00:55:35
2063.31,0.0,00:56:08
2063.31,0.0,00:56:42
2063.31,0.0,00:57:15
2063.31,0.0,00:57:49
2067.35,0.19580189,00:58:22
2067.35,0.0,00:58:55
2067.35,0.0,00:59:28
2067.35,0.0,01:00:01
2067.35,0.0,01:00:34
2067.35,0.0,01:01:08
2067.35,0.0,01:01:41
2067.35,0.0,01:02:13
2067.35,0.0,01:02:47
2067.35,0.0,01:03:20
2067.35,0.0,01:03:53
2067.35,0.0,01:04:26
2067.35,0.0,01:05:00
2067.35,0.0,01:05:33
2067.35,0.0,01:06:07
2067.35,0.0,01:06:40
2067.35,0.0,01:07:14
2067.35,0.0,01:07:47
2067.35,0.0,01:08:20
2067.35,0.0,01:08:53
2067.35,0.0,01:09:27
2067.35,0.0,01:10:00
2067.35,0.0,01:10:34
2067.35,0.0,01:11:07
2067.35,0.0,01:11:40
2067.35,0.0,01:12:13
2067.35,0.0,01:12:47
2067.35,0.0,01:13:20
2067.35,0.0,01:13:53
2067.35,0.0,01:14:27
2067.35,0.0,01:15:00
2067.35,0.0,01:15:33
2067.35,0.0,01:16:06
2067.35,0.0,01:16:39
2067.35,0.0,01:17:13
2067.35,0.0,01:17:46
2067.35,0.0,01:18:19
2067.35,0.0,01:18:53
2025.72,-2.01368902,01:19:26
2025.72,0.0,01:19:59
2025.72,0.0,01:20:32
2025.72,0.0,01:21:06
2025.72,0.0,01:21:39
2025.72,0.0,01:22:12
2025.72,0.0,01:22:46
2025.72,0.0,01:23:20
2025.72,0.0,01:23:52
2025.72,0.0,01:24:26
2025.72,0.0,01:24:59
2063.11,1.84576348,01:25:32
2025.5,-1.82297599,01:26:05
2025.5,0.0,01:26:39
2025.5,0.0,01:27:11
2025.5,0.0,01:27:45
2025.5,0.0,01:28:18
2025.5,0.0,01:28:51
2025.5,0.0,01:29:23
2025.5,0.0,01:29:57
2025.5,0.0,01:30:30
2025.5,0.0,01:31:03
2011.11,-0.71044187,01:31:37
2011.11,0.0,01:32:10
2011.11,0.0,01:32:43
2011.11,0.0,01:33:16
2011.11,0.0,01:33:49
2011.11,0.0,01:34:22
2011.11,0.0,01:34:55
2011.11,0.0,01:35:28
2011.11,0.0,01:36:01
2011.11,0.0,01:36:33
2011.11,0.0,01:37:07
2011.11,0.0,01:37:40
2011.11,0.0,01:38:13
2011.11,0.0,01:38:46
2011.11,0.0,01:39:20
2011.11,0.0,01:39:53
2011.11,0.0,01:40:26
2011.11,0.0,01:41:00
2011.11,0.0,01:41:33
2011.11,0.0,01:42:06
2011.11,0.0,01:42:40
2011.11,0.0,01:43:13
2011.11,0.0,01:43:47
2011.11,0.0,01:44:21
