xrp_mxn,Porcentage,Time
7.95,0.25220681,00:01:07
7.95,0.0,00:01:40
7.96,0.12578616,00:02:14
7.96,0.0,00:02:48
7.94,-0.25125628,00:03:21
7.94,0.0,00:03:54
7.94,0.0,00:04:28
7.94,0.0,00:05:01
7.95,0.12594458,00:05:35
7.95,0.0,00:06:08
7.95,0.0,00:06:41
7.95,0.0,00:07:15
7.95,0.0,00:07:48
7.95,0.0,00:08:21
7.95,0.0,00:08:55
7.95,0.0,00:09:28
7.96,0.12578616,00:10:02
7.96,0.0,00:10:35
7.96,0.0,00:11:08
7.96,0.0,00:11:42
7.96,0.0,00:12:15
7.96,0.0,00:12:48
7.96,0.0,00:13:22
7.96,0.0,00:13:55
7.96,0.0,00:14:28
7.96,0.0,00:15:02
7.96,0.0,00:15:36
7.96,0.0,00:16:09
7.95,-0.12562814,00:16:43
7.95,0.0,00:17:17
7.95,0.0,00:17:50
7.95,0.0,00:18:24
7.95,0.0,00:18:58
7.95,0.0,00:19:32
7.95,0.0,00:20:05
7.95,0.0,00:20:39
7.95,0.0,00:21:12
7.95,0.0,00:21:46
7.96,0.12578616,00:22:20
7.99,0.37688442,00:22:54
7.96,-0.37546934,00:23:27
7.96,0.0,00:24:00
7.96,0.0,00:24:34
7.96,0.0,00:25:07
7.99,0.37688442,00:25:41
7.96,-0.37546934,00:26:14
8.0,0.50251256,00:26:48
8.0,0.0,00:27:21
8.05,0.625,00:27:54
8.05,0.0,00:28:28
8.05,0.0,00:29:01
8.05,0.0,00:29:34
8.05,0.0,00:30:08
8.04,-0.1242236,00:30:41
8.04,0.0,00:31:14
7.97,-0.87064677,00:31:48
8.06,1.12923463,00:32:21
8.06,0.0,00:32:54
8.06,0.0,00:33:27
8.06,0.0,00:34:00
8.06,0.0,00:34:33
8.06,0.0,00:35:06
8.06,0.0,00:35:39
8.06,0.0,00:36:13
8.05,-0.12406948,00:36:46
8.05,0.0,00:37:19
8.05,0.0,00:37:52
8.05,0.0,00:38:26
8.05,0.0,00:38:59
8.05,0.0,00:39:32
8.05,0.0,00:40:05
8.05,0.0,00:40:39
8.05,0.0,00:41:12
8.05,0.0,00:41:45
8.05,0.0,00:42:18
8.05,0.0,00:42:52
8.0,-0.62111801,00:43:25
8.0,0.0,00:43:58
8.0,0.0,00:44:31
8.05,0.625,00:45:04
8.05,0.0,00:45:37
8.0,-0.62111801,00:46:11
8.0,0.0,00:46:44
8.0,0.0,00:47:17
8.0,0.0,00:47:50
8.0,0.0,00:48:23
8.0,0.0,00:48:57
8.0,0.0,00:49:30
8.0,0.0,00:50:03
8.05,0.625,00:50:37
8.05,0.0,00:51:10
7.96,-1.11801242,00:51:43
7.96,0.0,00:52:16
7.96,0.0,00:52:49
7.95,-0.12562814,00:53:22
8.06,1.3836478,00:53:55
8.06,0.0,00:54:28
8.06,0.0,00:55:02
8.06,0.0,00:55:35
7.95,-1.36476427,00:56:08
7.95,0.0,00:56:42
8.0,0.62893082,00:57:15
7.95,-0.625,00:57:49
7.95,0.0,00:58:22
7.95,0.0,00:58:55
7.95,0.0,00:59:28
7.95,0.0,01:00:01
7.95,0.0,01:00:34
7.95,0.0,01:01:08
7.95,0.0,01:01:41
7.95,0.0,01:02:13
7.95,0.0,01:02:47
7.95,0.0,01:03:20
7.95,0.0,01:03:53
7.95,0.0,01:04:26
7.95,0.0,01:05:00
7.95,0.0,01:05:33
7.95,0.0,01:06:07
7.95,0.0,01:06:40
7.95,0.0,01:07:14
7.95,0.0,01:07:47
8.01,0.75471698,01:08:20
8.01,0.0,01:08:53
8.01,0.0,01:09:27
8.01,0.0,01:10:00
8.01,0.0,01:10:34
8.01,0.0,01:11:07
8.01,0.0,01:11:40
8.01,0.0,01:12:13
8.01,0.0,01:12:47
8.01,0.0,01:13:20
8.01,0.0,01:13:53
8.01,0.0,01:14:27
8.01,0.0,01:15:00
8.01,0.0,01:15:33
8.01,0.0,01:16:06
8.01,0.0,01:16:39
8.01,0.0,01:17:13
8.0,-0.12484395,01:17:46
7.95,-0.625,01:18:19
7.93,-0.25157233,01:18:53
7.9,-0.37831021,01:19:26
7.9,0.0,01:19:59
7.93,0.37974684,01:20:32
7.93,0.0,01:21:06
7.93,0.0,01:21:39
7.93,0.0,01:22:12
7.93,0.0,01:22:46
7.93,0.0,01:23:20
7.93,0.0,01:23:52
7.93,0.0,01:24:26
7.91,-0.25220681,01:24:59
7.9,-0.12642225,01:25:32
7.9,0.0,01:26:05
7.9,0.0,01:26:39
7.9,0.0,01:27:11
7.99,1.13924051,01:27:45
7.9,-1.12640801,01:28:18
7.9,0.0,01:28:51
7.9,0.0,01:29:23
7.9,0.0,01:29:57
7.9,0.0,01:30:30
7.88,-0.25316456,01:31:03
7.88,0.0,01:31:37
7.88,0.0,01:32:10
7.99,1.39593909,01:32:43
7.99,0.0,01:33:16
7.99,0.0,01:33:49
