bch_mxn,Porcentage,Time
7727.53,0.0,00:01:07
7727.53,0.0,00:01:40
7727.53,0.0,00:02:14
7887.45,2.06948404,00:02:48
7887.45,0.0,00:03:21
7887.45,0.0,00:03:54
7887.45,0.0,00:04:28
7889.35,0.0240889,00:05:01
7889.35,0.0,00:05:35
7889.09,-0.00329558,00:06:08
7889.09,0.0,00:06:41
7889.09,0.0,00:07:15
7889.09,0.0,00:07:48
7889.09,0.0,00:08:21
7889.09,0.0,00:08:55
7889.09,0.0,00:09:28
7889.09,0.0,00:10:02
7889.09,0.0,00:10:35
7889.09,0.0,00:11:08
7889.09,0.0,00:11:42
7889.09,0.0,00:12:15
7889.79,0.00887301,00:12:48
7889.79,0.0,00:13:22
7889.79,0.0,00:13:55
7889.79,0.0,00:14:28
7889.79,0.0,00:15:02
7889.79,0.0,00:15:36
7889.79,0.0,00:16:09
7889.79,0.0,00:16:43
7889.79,0.0,00:17:17
7889.79,0.0,00:17:50
7887.67,-0.02687017,00:18:24
7887.67,0.0,00:18:58
7887.67,0.0,00:19:32
7887.67,0.0,00:20:05
7887.67,0.0,00:20:39
7886.85,-0.01039597,00:21:12
7886.85,0.0,00:21:46
7886.85,0.0,00:22:20
7886.85,0.0,00:22:54
7886.85,0.0,00:23:27
7886.85,0.0,00:24:00
7886.85,0.0,00:24:34
7737.82,-1.88960104,00:25:07
7737.82,0.0,00:25:41
7737.82,0.0,00:26:14
7737.82,0.0,00:26:48
7737.82,0.0,00:27:21
7737.82,0.0,00:27:54
7737.82,0.0,00:28:28
7737.82,0.0,00:29:01
7737.82,0.0,00:29:34
7737.82,0.0,00:30:08
7737.82,0.0,00:30:41
7737.82,0.0,00:31:14
7737.82,0.0,00:31:48
7737.82,0.0,00:32:21
7737.82,0.0,00:32:54
7737.82,0.0,00:33:27
7850.0,1.44976234,00:34:00
7850.0,0.0,00:34:33
7948.33,1.25261146,00:35:06
7948.33,0.0,00:35:39
7948.33,0.0,00:36:13
7781.19,-2.10283166,00:36:46
7781.19,0.0,00:37:19
7781.19,0.0,00:37:52
7781.19,0.0,00:38:26
