bat_mxn,Porcentage,Time
6.69,0.0,00:01:07
6.69,0.0,00:01:40
6.69,0.0,00:02:14
6.77,1.19581465,00:02:48
6.77,0.0,00:03:21
6.77,0.0,00:03:54
6.77,0.0,00:04:28
6.77,0.0,00:05:01
6.77,0.0,00:05:35
6.77,0.0,00:06:08
6.77,0.0,00:06:41
6.77,0.0,00:07:15
6.77,0.0,00:07:48
6.77,0.0,00:08:21
6.77,0.0,00:08:55
6.77,0.0,00:09:28
6.77,0.0,00:10:02
6.77,0.0,00:10:35
6.77,0.0,00:11:08
6.77,0.0,00:11:42
6.77,0.0,00:12:15
6.69,-1.1816839,00:12:48
6.69,0.0,00:13:22
6.69,0.0,00:13:55
6.69,0.0,00:14:28
6.69,0.0,00:15:02
6.69,0.0,00:15:36
6.69,0.0,00:16:09
6.69,0.0,00:16:43
6.69,0.0,00:17:17
6.69,0.0,00:17:50
6.69,0.0,00:18:24
6.69,0.0,00:18:58
6.69,0.0,00:19:32
6.69,0.0,00:20:05
6.69,0.0,00:20:39
6.69,0.0,00:21:12
6.69,0.0,00:21:46
6.69,0.0,00:22:20
6.69,0.0,00:22:54
6.69,0.0,00:23:27
6.69,0.0,00:24:00
6.69,0.0,00:24:34
6.69,0.0,00:25:07
6.69,0.0,00:25:41
6.8,1.64424514,00:26:14
6.8,0.0,00:26:48
6.8,0.0,00:27:21
6.8,0.0,00:27:54
6.8,0.0,00:28:28
6.8,0.0,00:29:01
6.8,0.0,00:29:34
6.8,0.0,00:30:08
6.8,0.0,00:30:41
6.8,0.0,00:31:14
6.67,-1.91176471,00:31:48
6.67,0.0,00:32:21
6.67,0.0,00:32:54
6.67,0.0,00:33:27
6.67,0.0,00:34:00
6.67,0.0,00:34:33
6.67,0.0,00:35:06
6.67,0.0,00:35:39
6.67,0.0,00:36:13
6.67,0.0,00:36:46
6.67,0.0,00:37:19
6.67,0.0,00:37:52
6.67,0.0,00:38:26
6.67,0.0,00:38:59
6.67,0.0,00:39:32
6.67,0.0,00:40:05
6.67,0.0,00:40:39
6.67,0.0,00:41:12
6.67,0.0,00:41:45
6.67,0.0,00:42:18
6.67,0.0,00:42:52
6.67,0.0,00:43:25
6.67,0.0,00:43:58
6.67,0.0,00:44:31
6.67,0.0,00:45:04
6.67,0.0,00:45:37
6.67,0.0,00:46:11
6.67,0.0,00:46:44
6.67,0.0,00:47:17
6.67,0.0,00:47:50
6.67,0.0,00:48:23
6.67,0.0,00:48:57
6.67,0.0,00:49:30
6.67,0.0,00:50:03
6.67,0.0,00:50:37
6.67,0.0,00:51:10
6.66,-0.14992504,00:51:43
6.66,0.0,00:52:16
6.66,0.0,00:52:49
6.66,0.0,00:53:22
6.66,0.0,00:53:55
6.66,0.0,00:54:28
6.66,0.0,00:55:02
6.66,0.0,00:55:35
6.66,0.0,00:56:08
6.66,0.0,00:56:42
6.66,0.0,00:57:15
6.66,0.0,00:57:49
6.66,0.0,00:58:22
6.66,0.0,00:58:55
6.66,0.0,00:59:28
6.66,0.0,01:00:01
6.66,0.0,01:00:34
6.66,0.0,01:01:08
6.66,0.0,01:01:41
6.66,0.0,01:02:13
6.66,0.0,01:02:47
6.66,0.0,01:03:20
6.66,0.0,01:03:53
6.66,0.0,01:04:26
6.66,0.0,01:05:00
6.66,0.0,01:05:33
6.66,0.0,01:06:07
6.66,0.0,01:06:40
6.66,0.0,01:07:14
6.66,0.0,01:07:47
