eth_mxn,Porcentage,Time
4800.05,0.0,00:01:07
4859.31,1.23457047,00:01:40
4859.31,0.0,00:02:14
4859.31,0.0,00:02:48
4859.31,0.0,00:03:21
4859.31,0.0,00:03:54
4859.31,0.0,00:04:28
4859.31,0.0,00:05:01
4859.31,0.0,00:05:35
4859.31,0.0,00:06:08
4859.31,0.0,00:06:41
4859.31,0.0,00:07:15
4859.31,0.0,00:07:48
4859.31,0.0,00:08:21
4859.31,0.0,00:08:55
4859.31,0.0,00:09:28
4859.31,0.0,00:10:02
4859.31,0.0,00:10:35
4854.04,-0.10845161,00:11:08
4854.04,0.0,00:11:42
4854.04,0.0,00:12:15
4853.94,-0.00206014,00:12:48
4853.94,0.0,00:13:22
4853.94,0.0,00:13:55
4853.94,0.0,00:14:28
4853.94,0.0,00:15:02
4853.94,0.0,00:15:36
4800.1,-1.10920201,00:16:09
4800.1,0.0,00:16:43
4800.1,0.0,00:17:17
4800.1,0.0,00:17:50
4800.1,0.0,00:18:24
4800.1,0.0,00:18:58
4800.1,0.0,00:19:32
4800.1,0.0,00:20:05
4800.1,0.0,00:20:39
4856.66,1.17830879,00:21:12
4856.66,0.0,00:21:46
4856.66,0.0,00:22:20
4856.66,0.0,00:22:54
4856.66,0.0,00:23:27
4856.66,0.0,00:24:00
4856.66,0.0,00:24:34
4856.66,0.0,00:25:07
4870.17,0.27817471,00:25:41
4870.17,0.0,00:26:14
4870.17,0.0,00:26:48
4870.17,0.0,00:27:21
4870.17,0.0,00:27:54
4870.17,0.0,00:28:28
4802.74,-1.38455126,00:29:01
4802.74,0.0,00:29:34
4802.74,0.0,00:30:08
4802.74,0.0,00:30:41
4802.74,0.0,00:31:14
4802.74,0.0,00:31:48
4802.74,0.0,00:32:21
4802.74,0.0,00:32:54
4802.74,0.0,00:33:27
4802.74,0.0,00:34:00
4802.74,0.0,00:34:33
4867.44,1.34714767,00:35:06
4867.44,0.0,00:35:39
4867.47,0.00061634,00:36:13
4867.47,0.0,00:36:46
4867.47,0.0,00:37:19
4867.47,0.0,00:37:52
4867.47,0.0,00:38:26
4867.47,0.0,00:38:59
4867.47,0.0,00:39:32
4867.47,0.0,00:40:05
4867.47,0.0,00:40:39
4867.47,0.0,00:41:12
4867.47,0.0,00:41:45
4867.47,0.0,00:42:18
4867.47,0.0,00:42:52
4864.77,-0.0554703,00:43:25
4864.77,0.0,00:43:58
4864.77,0.0,00:44:31
4864.77,0.0,00:45:04
4853.9,-0.22344325,00:45:37
4853.9,0.0,00:46:11
4853.9,0.0,00:46:44
4853.9,0.0,00:47:17
4853.9,0.0,00:47:50
4853.9,0.0,00:48:23
4853.9,0.0,00:48:57
4853.9,0.0,00:49:30
4853.9,0.0,00:50:03
4853.9,0.0,00:50:37
4853.9,0.0,00:51:10
4853.9,0.0,00:51:43
4884.99,0.64051587,00:52:16
4884.99,0.0,00:52:49
4884.99,0.0,00:53:22
4884.99,0.0,00:53:55
4884.99,0.0,00:54:28
4884.99,0.0,00:55:02
4884.99,0.0,00:55:35
4884.99,0.0,00:56:08
4884.99,0.0,00:56:42
4884.99,0.0,00:57:15
4860.1,-0.50951998,00:57:49
4860.1,0.0,00:58:22
4860.1,0.0,00:58:55
4860.1,0.0,00:59:28
4862.8,0.05555441,01:00:01
4862.8,0.0,01:00:34
4862.8,0.0,01:01:08
4862.8,0.0,01:01:41
4862.8,0.0,01:02:13
4862.8,0.0,01:02:47
4862.8,0.0,01:03:20
4862.8,0.0,01:03:53
4862.8,0.0,01:04:26
4862.8,0.0,01:05:00
4862.8,0.0,01:05:33
4862.8,0.0,01:06:07
4867.96,0.10611171,01:06:40
4867.96,0.0,01:07:14
4867.91,-0.00102712,01:07:47
4867.91,0.0,01:08:20
4867.91,0.0,01:08:53
4867.81,-0.00205427,01:09:27
4867.81,0.0,01:10:00
4867.81,0.0,01:10:34
4867.81,0.0,01:11:07
4867.81,0.0,01:11:40
4803.18,-1.32770178,01:12:13
4803.18,0.0,01:12:47
4803.18,0.0,01:13:20
4803.18,0.0,01:13:53
4803.18,0.0,01:14:27
4803.18,0.0,01:15:00
4803.18,0.0,01:15:33
4803.18,0.0,01:16:06
4804.38,0.02498345,01:16:39
4804.38,0.0,01:17:13
4804.38,0.0,01:17:46
4804.38,0.0,01:18:19
4804.38,0.0,01:18:53
4804.38,0.0,01:19:26
4804.38,0.0,01:19:59
4804.38,0.0,01:20:32
4804.38,0.0,01:21:06
4804.38,0.0,01:21:39
4804.38,0.0,01:22:12
4804.38,0.0,01:22:46
4846.13,0.86899871,01:23:20
4846.13,0.0,01:23:52
4846.13,0.0,01:24:26
4846.13,0.0,01:24:59
4801.22,-0.92671885,01:25:32
4801.22,0.0,01:26:05
4801.22,0.0,01:26:39
4801.22,0.0,01:27:11
4801.22,0.0,01:27:45
4801.22,0.0,01:28:18
4801.22,0.0,01:28:51
4801.22,0.0,01:29:23
4801.22,0.0,01:29:57
4801.22,0.0,01:30:30
4801.22,0.0,01:31:03
4801.22,0.0,01:31:37
4801.22,0.0,01:32:10
4801.22,0.0,01:32:43
4801.22,0.0,01:33:16
4845.88,0.93018025,01:33:49
4845.88,0.0,01:34:22
4862.5,0.34297176,01:34:55
4862.5,0.0,01:35:28
4862.5,0.0,01:36:01
4862.5,0.0,01:36:33
4862.5,0.0,01:37:07
4862.5,0.0,01:37:40
4862.5,0.0,01:38:13
4862.5,0.0,01:38:46
4862.5,0.0,01:39:20
4862.5,0.0,01:39:53
4862.5,0.0,01:40:26
4862.5,0.0,01:41:00
4862.5,0.0,01:41:33
4862.5,0.0,01:42:06
4862.5,0.0,01:42:40
4862.5,0.0,01:43:13
4862.5,0.0,01:43:47
4862.5,0.0,01:44:21
4862.5,0.0,01:44:54
4862.5,0.0,01:45:28
4862.5,0.0,01:46:01
4862.5,0.0,01:46:34
4862.5,0.0,01:47:07
4800.6,-1.27300771,01:47:41
4800.6,0.0,01:48:14
4800.6,0.0,01:48:48
4800.6,0.0,01:49:21
4800.6,0.0,01:49:54
4800.6,0.0,01:50:27
4800.6,0.0,01:51:01
4800.6,0.0,01:51:35
4800.6,0.0,01:52:08
4800.6,0.0,01:52:41
4800.6,0.0,01:53:14
4800.6,0.0,01:53:47
4800.6,0.0,01:54:21
4800.6,0.0,01:54:54
4800.6,0.0,01:55:27
4800.6,0.0,01:56:01
4800.6,0.0,01:56:34
4800.6,0.0,01:57:06
4800.6,0.0,01:57:40
4800.6,0.0,01:58:13
4800.6,0.0,01:58:46
4867.91,1.4021164,01:59:19
4867.91,0.0,01:59:54
4867.91,0.0,02:00:27
4867.91,0.0,02:01:01
4867.91,0.0,02:01:34
4867.91,0.0,02:02:08
4867.91,0.0,02:02:41
4867.91,0.0,02:03:15
4867.91,0.0,02:03:48
4867.91,0.0,02:04:21
4867.91,0.0,02:04:54
4867.91,0.0,02:05:28
4867.91,0.0,02:06:01
4867.91,0.0,02:06:34
4867.91,0.0,02:07:08
4867.91,0.0,02:07:42
4867.91,0.0,02:08:15
4867.91,0.0,02:08:48
4867.91,0.0,02:09:22
4867.91,0.0,02:09:55
4867.91,0.0,02:10:28
4867.91,0.0,02:11:02
4867.91,0.0,02:11:34
4867.91,0.0,02:12:08
4867.91,0.0,02:12:41
4867.91,0.0,02:13:15
4867.91,0.0,02:13:48
4867.91,0.0,02:14:25
4867.91,0.0,02:14:59
4867.91,0.0,02:15:32
4867.91,0.0,02:16:05
4867.91,0.0,02:16:38
4867.91,0.0,02:17:12
4867.91,0.0,02:17:45
4867.91,0.0,02:18:18
4867.91,0.0,02:18:51
4867.91,0.0,02:19:24
4867.91,0.0,02:19:57
4867.91,0.0,02:20:31
4867.91,0.0,02:21:04
4867.91,0.0,02:21:37
4867.91,0.0,02:22:11
4867.91,0.0,02:22:44
4867.91,0.0,02:23:17
4867.91,0.0,02:23:51
4867.91,0.0,02:24:24
4867.91,0.0,02:24:58
4867.91,0.0,02:25:31
4867.91,0.0,02:26:04
4867.91,0.0,02:26:37
4867.91,0.0,02:27:10
4867.91,0.0,02:27:44
4867.91,0.0,02:28:17
4867.91,0.0,02:28:50
